ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,verify_time_ms,verify_ok,encaps_time_ms,receiver_total_ms,kem_pk_bytes,kem_ct_bytes,mem_recv_rss_kb,cpu_recv_user_ms,cpu_recv_sys_ms
1779643469.9343472,10,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.18661400008568307,1,0.04246200023771962,0.42009500020867563,1184,1088,26368,9.999999999999787,0.0
1779643470.0793092,11,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.19189000022379332,1,0.04347599997345242,0.4259880001882266,1184,1088,26368,0.0,0.0
1779643470.2216458,12,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.17373099990436458,1,0.0403230001211341,0.3942050002478936,1184,1088,26368,0.0,0.0
1779643470.363164,13,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.1985019998755888,1,0.048100000185513636,0.4518880000432546,1184,1088,26368,0.0,0.0
1779643470.5125957,14,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.2005490000556165,1,0.052753000090888236,0.458501000139222,1184,1088,26368,0.0,0.0
1779643470.6654613,15,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.21459899971887353,1,0.04844599970965646,0.48232200015263516,1184,1088,26368,0.0,0.0
1779643470.8208346,16,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.20722299996123184,1,0.04741399970953353,0.45738300013908884,1184,1088,26368,0.0,0.0
1779643470.9750614,17,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.20780200020453776,1,0.04796800021722447,0.4746329996123677,1184,1088,26368,0.0,0.0
1779643471.1231964,18,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.1981109999178443,1,0.04549100003714557,0.44566299993675784,1184,1088,26368,0.0,0.0
1779643471.2703223,19,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.17039199974533403,1,0.04137900032219477,0.40859000000637025,1184,1088,26368,0.0,0.0
1779643471.4150395,20,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12268,1650,0.17717099990477436,1,0.04022600023745326,0.4020329997729277,1184,1088,26368,0.0,0.0
1779643471.4227846,1,ML-KEM-768,SPHINCS+-SHA2-128f-simple,24575,1649,0.45763800017084577,1,0.04325800000515301,0.6900929997755156,1184,1088,26368,0.0,0.0
1779643471.4303591,2,ML-KEM-768,SPHINCS+-SHA2-128f-simple,24575,1649,0.5373150002014881,1,0.031222999950841768,0.6864840001981065,1184,1088,26368,0.0,0.0
1779643471.438386,3,ML-KEM-768,SPHINCS+-SHA2-128f-simple,24575,1649,0.538730999778636,1,0.042470999687793665,0.7791609996274929,1184,1088,26368,0.0,0.0
