ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sign_time_ms,rtt_ms,receipt_ok
1770222585.885089,ML-DSA,ML-DSA-65,89,7f09bf297b7f491790324ebec5ed5c4c,34,7368,2604,4412,0.31079099994713033,2.059395000060249,1
1770222585.9391184,ML-DSA,ML-DSA-65,90,0b5c65d949f74c46b3ec27a0a798ca64,34,7368,2604,4412,0.27682099994308373,3.0960310000409663,1
1770222585.9920194,ML-DSA,ML-DSA-65,91,a2d544507764405bba805381aed3783a,34,7368,2604,4412,0.1392910000959091,2.0716899998660665,1
1770222586.0457284,ML-DSA,ML-DSA-65,92,5a3ea40e34034481ac441e4f09161c29,34,7368,2604,4412,0.14486999998553074,2.9498359999706736,1
1770222586.0989897,ML-DSA,ML-DSA-65,93,95a03a2d83ec4068bf9edebdd94e1525,34,7368,2604,4412,0.21382800014180248,2.4058070000592124,1
1770222586.1528695,ML-DSA,ML-DSA-65,94,547e59ddc0b3458f819087513f14efb3,34,7368,2604,4412,0.17627700003686186,3.073427999879641,1
1770222586.2053733,ML-DSA,ML-DSA-65,95,5d86dbace6f14441981db63998d26f3f,34,7368,2604,4412,0.168175999988307,1.8151980000311596,1
1770222586.2591016,ML-DSA,ML-DSA-65,96,6b989c7fcace4b8d8e8229635fd976ff,34,7368,2604,4412,0.31902199998512515,2.8016109999953187,1
1770222586.311897,ML-DSA,ML-DSA-65,97,f4289c161f07418086e3df7ebb13fa54,34,7368,2604,4412,0.09342099997411424,2.1429729999908886,1
1770222586.3654737,ML-DSA,ML-DSA-65,98,b2dc424f0c6f43aaa2c6119ee18522a0,34,7368,2604,4412,0.08424100019510661,2.8904030000376224,1
1770222586.4182818,ML-DSA,ML-DSA-65,99,44e18350edf548f49c5cffefe6940cd8,34,7368,2604,4412,0.2634380000472447,1.950748999888674,1
1770222586.4721727,ML-DSA,ML-DSA-65,100,99f4d4aaae3b45f9a9d50283bccaa547,35,7369,2604,4412,0.16357599997718353,3.050695999945674,1
1770222586.758764,SPHINCS,SPHINCS+-SHA2-128s-simple,1,29fbbb26270e4250958ea984567b6804,34,10888,44,10476,168.82039200004328,43.4260039999117,1
1770222587.048692,SPHINCS,SPHINCS+-SHA2-128s-simple,2,a6c237bdedc547958c184aaf07c07df9,34,10888,44,10476,168.75643000003038,48.37328600001456,1
1770222587.3387268,SPHINCS,SPHINCS+-SHA2-128s-simple,3,b0811ce2f8554f70a06bd3f9c2cb3295,34,10888,44,10476,171.07325799997852,46.103103999939776,1
1770222587.6387959,SPHINCS,SPHINCS+-SHA2-128s-simple,4,d010ead0cf544770a1cea066c388baff,34,10888,44,10476,178.46776500005035,48.61290899998494,1
1770222587.9288611,SPHINCS,SPHINCS+-SHA2-128s-simple,5,bbaccffee2d644aaa85f61823ce14d94,34,10888,44,10476,170.08164999992914,46.829215000116164,1
1770222588.2287347,SPHINCS,SPHINCS+-SHA2-128s-simple,6,ff56106134564c598a0678e08490cfed,34,10888,44,10476,180.9001320000334,45.47531200000776,1
1770222588.5186384,SPHINCS,SPHINCS+-SHA2-128s-simple,7,c5cf79791dc0467984edf53b9af73a1e,34,10888,44,10476,167.9505459999291,49.25544200000331,1
1770222588.808707,SPHINCS,SPHINCS+-SHA2-128s-simple,8,e32e4bba4c0d474f9ce54a1cbb49e89b,34,10888,44,10476,169.9460969998654,47.26640099988799,1
1770222589.1089046,SPHINCS,SPHINCS+-SHA2-128s-simple,9,d2ac35757d7948aab0075f1e56de2a18,34,10888,44,10476,168.8699500000439,58.41034599984596,1
1770222589.4089353,SPHINCS,SPHINCS+-SHA2-128s-simple,10,3af841bc0f9946a29a5659cd337ded20,35,10889,44,10476,170.09258999996746,57.1050710000236,1
1770222589.698794,SPHINCS,SPHINCS+-SHA2-128s-simple,11,b509aed736ae4f3486ad459f45d8c51e,35,10889,44,10476,170.1804809999885,44.75797200007037,1
1770222589.98875,SPHINCS,SPHINCS+-SHA2-128s-simple,12,7a1fc37e9dde4e35bdb0db2547895c30,35,10889,44,10476,168.23203699982514,48.75050500004363,1
1770222590.278813,SPHINCS,SPHINCS+-SHA2-128s-simple,13,8936b95a441f4ed1badf1fd777cfa125,35,10889,44,10476,169.2348530000345,47.974654999961786,1
1770222590.5785189,SPHINCS,SPHINCS+-SHA2-128s-simple,14,e1e4d8ddb764427d917d6f45d3c91d8f,35,10889,44,10476,172.9918149999321,52.21024200000102,1
1770222590.86873,SPHINCS,SPHINCS+-SHA2-128s-simple,15,b91706abd7014ffca57d6e184d059d6c,35,10889,44,10476,169.30867699988994,47.81871699992735,1
1770222591.1688793,SPHINCS,SPHINCS+-SHA2-128s-simple,16,6d77cbed4f25458db1bcfc897d4903ed,35,10889,44,10476,168.98077099995135,57.657069000015326,1
1770222591.4586165,SPHINCS,SPHINCS+-SHA2-128s-simple,17,afd760f08df74039aeb5c4faf8994817,35,10889,44,10476,168.52985999980774,48.19205499984491,1
1770222591.7486622,SPHINCS,SPHINCS+-SHA2-128s-simple,18,28378b606f7a43459f7e9c567f58b1f8,35,10889,44,10476,168.98719300002085,48.36171600004491,1
1770222592.0387056,SPHINCS,SPHINCS+-SHA2-128s-simple,19,669ce1ccdb704595939ccb8d9801fee4,35,10889,44,10476,169.46291499994004,47.49582600015856,1
1770222592.328752,SPHINCS,SPHINCS+-SHA2-128s-simple,20,cc3d2235ab444d9fa2629d49622408e7,35,10889,44,10476,168.47329699999136,48.63161200000832,1
